iter	Passed	Remaining
398	160863	40719
399	161289	40322
400	161732	39928
401	162160	39531
402	162599	39136
403	163032	38740
404	163473	38345
405	163921	37952
406	164350	37554
407	164788	37158
408	165209	36758
409	165620	36355
410	166036	35954
411	166453	35553
412	166882	35154
413	167308	34754
414	167735	34355
415	168153	33954
416	168577	33553
417	168990	33151
418	169421	32752
419	169852	32352
420	170285	31953
421	170741	31558
422	171190	31162
423	171633	30764
424	172078	30366
425	172521	29968
426	172962	29569
427	173418	29173
428	173878	28777
429	174319	28377
430	174757	27977
431	175192	27576
432	175640	27177
433	176073	26776
434	176506	26374
435	176925	25970
436	177368	25570
437	177790	25166
438	178244	24767
439	178675	24364
440	179095	23960
441	179500	23554
442	179916	23149
443	180341	22745
444	180743	22339
445	181162	21934
446	181582	21529
447	182003	21125
448	182419	20720
449	182853	20317
450	183391	19925
451	183873	19526
452	184291	19120
453	184810	18725
454	185246	18321
455	185672	17915
456	186096	17510
457	186500	17102
458	186962	16700
459	187386	16294
460	187840	15891
461	188331	15490
462	188804	15088
463	189248	14683
464	189713	14279
465	190163	13874
466	190647	13471
467	191112	13067
468	191550	12661
469	192004	12255
470	192442	11848
471	192884	11442
472	192892	11010
473	193316	10603
474	193724	10196
475	194135	9788
476	194542	9380
477	195025	8976
478	195488	8570
479	195943	8164
480	196337	7755
481	196749	7347
482	197196	6940
483	197670	6534
484	198108	6127
485	198535	5719
486	198954	5310
487	199369	4902
488	199778	4493
489	200196	4085
490	200606	3677
491	201030	3268
492	201444	2860
493	201867	2451
494	202283	2043
495	202692	1634
496	203114	1226
497	203522	817
498	203972	408
499	204398	0
